,beta,pPhi_000C_730NM,pPhi_001C_730NM,pPhi_003C_730NM,pPhi_010C_730NM,pPhi_030C_730NM,pPhi_100C_730NM,pPhi_300C_730NM,pPhi_600C_730NM
0,0.0,0.165880339520885,0.6153942287808198,0.6240291209105508,0.650956355268273,0.6928213095919519,0.7537233028304897,0.6270103581501195,0.43801322203431287
1,1.8181818181818183,0.16562135261150615,0.6150058642807407,0.6236238383231906,0.6504235951381181,0.6922318985933915,0.7530944399191659,0.6264249936593491,0.4375511964012727
2,3.6363636363636367,0.16517069863092662,0.6138984085287208,0.6223977603423765,0.6488267593767176,0.690451520379598,0.7511478440314329,0.6246470795174286,0.4361103963504764
3,5.454545454545455,0.16453911862738566,0.6120958290693507,0.6203829367218661,0.646221882688008,0.6875468349281866,0.7479588438502752,0.6217514099862723,0.4337622096940191
4,7.272727272727273,0.16373735364912287,0.6096220934472224,0.6176114172154179,0.6426649997759268,0.6835845022167736,0.7436027680586778,0.617812779327795,0.43057802424399694
5,9.090909090909092,0.16277614474437754,0.6065011692069268,0.6141152515767894,0.638212145344411,0.6786311822229745,0.7381549453396261,0.6129059818039115,0.42662922781250584
6,10.90909090909091,0.16166623296138916,0.6027570238930551,0.6099264895597389,0.6329193540973979,0.6727535349244053,0.7316907043761052,0.6071058116765368,0.42198720821164143
7,12.727272727272728,0.1604183593483971,0.5984136250501992,0.6050771809180243,0.6268426607388248,0.6660182202986817,0.7242853738510996,0.6004870632075856,0.4167233532534999
8,14.545454545454547,0.15904326495364077,0.5934949402229497,0.599599375405403,0.620038099972628,0.6584918983234194,0.7160142824475945,0.5931245306589722,0.4109090507501765
9,16.363636363636363,0.1575516908253596,0.5880249369558981,0.5935251227756336,0.6125617065027458,0.6502412289762347,0.7069527588485751,0.585093008292612,0.40461568851376756
10,18.181818181818183,0.15595437801179307,0.582027582793636,0.586886472782474,0.6044695150331149,0.6413328722347431,0.6971761317370265,0.5764672903704195,0.3979146543563688
11,20.0,0.15426206756118047,0.5755268452807543,0.5797154751796816,0.5958175602676722,0.6318334880765607,0.6867597297959336,0.5673221711543095,0.3908773360900759
12,21.81818181818182,0.1524844287249266,0.5685470093520384,0.5720442471692786,0.5866600416170632,0.6218068925794892,0.6757754529580638,0.5577282796627285,0.3835696221039012
13,23.636363636363637,0.15062684356709696,0.5611136295030461,0.5639051757463428,0.5770438173187639,0.6113055262220761,0.6642814861553147,0.5477395839402514,0.37603540309452205
14,25.454545454545457,0.14869362235492242,0.5532525776195302,0.555330715354215,0.5670139103169588,0.6003789855830554,0.6523325855693658,0.5374058867879845,0.36831307033553284
15,27.272727272727273,0.14668907535563383,0.5449897255872428,0.5463533204362369,0.5566153435558323,0.5890768672411606,0.6399835073818966,0.5267769910070342,0.36044101510052723
16,29.090909090909093,0.14461751283646201,0.5363509452919357,0.5370054454357497,0.5458931399795683,0.5774487677751252,0.6272890077745871,0.5159026993985067,0.35245762866309893
17,30.90909090909091,0.1424832398399224,0.527362082290831,0.5273194282210528,0.5348919615394834,0.5655438569183647,0.6143032666517007,0.5048322786949341,0.3444008887416803
18,32.72727272727273,0.14029044124007525,0.518048376584945,0.5173249254344823,0.5236481673509208,0.5534014869619733,0.6010672095369198,0.4936026660516241,0.33629926128598076
19,34.54545454545455,0.13804318174252564,0.5084344626190898,0.5070489124924087,0.5121898136932522,0.5410511927547234,0.587608507573348,0.48223846904666173,0.32817170047698696
20,36.36363636363637,0.13574552082816324,0.4985449485095465,0.49651824823616225,0.5005445958529806,0.528522082300069,0.5739542556266715,0.4707637591895567,0.3200367469405236
21,38.18181818181818,0.13340151797787775,0.488404442372597,0.4857597915070722,0.48874020911660954,0.5158432636014649,0.5601315485625769,0.4592026079898194,0.311912941302416
22,40.0,0.1310152326725588,0.47803755232452233,0.47480040114646815,0.4768043487706418,0.5030438446623651,0.5461674812467504,0.4475790869569591,0.30381882418848855
23,41.81818181818182,0.12859063269451396,0.467468775209412,0.4636664460534518,0.4647635067165089,0.4901513534896021,0.5320888721669856,0.4359156619282291,0.29577022844798206
24,43.63636363636364,0.1261313190317223,0.4567221627825878,0.4523823353582119,0.45263936131535515,0.4771869981035206,0.5179214342995035,0.42422837605185537,0.2877721558238002
25,45.45454545454546,0.1236408009735809,0.4458216555271796,0.44097198824870953,0.4404523875432529,0.4641704065278437,0.5036906042426323,0.412531666803807,0.27982690028226237
26,47.27272727272727,0.12112258780948665,0.43479119392631665,0.4294593239129055,0.42822306037627444,0.45112120678629397,0.48942181859470013,0.4008399716600529,0.2719367557896879
27,49.09090909090909,0.11858018882883656,0.42365471846312897,0.4178682615387607,0.4159718547904923,0.43805902690259446,0.47514051395403467,0.38916772809656236,0.2641040163123959
28,50.909090909090914,0.11601709998567536,0.41243607918021485,0.4062226125812537,0.4037191310297358,0.42500340945913406,0.4608719084290192,0.3775293114786849,0.25633103864389944
29,52.727272727272734,0.11343651052094622,0.401157045987949,0.3945437106367615,0.3914826104962374,0.41197193188760983,0.44663619485930023,0.36593766862752414,0.24862162460315795
30,54.54545454545455,0.11084130296249071,0.38983730866448285,0.3828504114430614,0.3792773757506341,0.39898020646902954,0.4324485408157873,0.3544043178199376,0.24098102103457825
31,56.36363636363637,0.10823434650279812,0.3784964665474356,0.37116146300494707,0.3671183946213194,0.386043760043065,0.41832389537944503,0.3429407152221635,0.2334145376097599
32,58.18181818181819,0.10561851033435778,0.367154118974428,0.35949561332721275,0.35502063493668645,0.3731781194493894,0.40427720763123853,0.3315583170004398,0.22592748400030332
33,60.00000000000001,0.10299666364965904,0.355829865283079,0.3478716104146525,0.34299906452512874,0.36039881152767494,0.3903234266521324,0.3202685793210048,0.2185251698778081
34,61.81818181818182,0.10037160755545288,0.3445426976864885,0.3363076245195244,0.3310682598194822,0.3477209191624371,0.37647747698966233,0.3090822788486419,0.2112123672924584
35,63.63636363636365,0.0977458708155373,0.3333091798996745,0.3248195148839432,0.31924123167035184,0.33515774941756127,0.36275418505764917,0.2980074742423154,0.20399169780877427
36,65.45454545454545,0.09512191410797198,0.322145268513135,0.3134225629974876,0.3075305995327856,0.3227221654017762,0.34916835273648444,0.28705154465953514,0.19686524536986014
37,67.27272727272728,0.0925021981108165,0.3110669201173674,0.3021320503497361,0.2959489828618306,0.31042703022380963,0.33573478190655986,0.27622186925781034,0.18983509391881995
38,69.0909090909091,0.0898891835021307,0.30009009130286984,0.29096325843026777,0.284509001112535,0.29828520699239025,0.32246827444826726,0.2655258271946512,0.18290332739875806
39,70.90909090909092,0.08728532928332883,0.28923067664028757,0.27993141654962556,0.2732232449094957,0.28630954050224283,0.309383605976436,0.2549709269976714,0.17607206796558106
40,72.72727272727273,0.08469305589298413,0.27850314424366035,0.26905055390053756,0.26210364177695666,0.27451245432601373,0.29649494799795956,0.24456765270688682,0.1693443166696509
41,74.54545454545455,0.0821147452068285,0.2679205357704219,0.25833349955791557,0.2511614561388075,0.2629059508142704,0.28381586791179575,0.23432946387471462,0.1627239534557846
42,76.36363636363636,0.07955277742394849,0.2574958308581536,0.24779303041763634,0.2404079235884878,0.2515020140035771,0.2713599068513397,0.2242699494236767,0.15621489648160164
43,78.18181818181819,0.07700953274343073,0.247242009144437,0.23744192337557654,0.22985427971943703,0.24031262793049796,0.259140605949987,0.21440269827629463,0.14982106390472147
44,80.0,0.07448739136436185,0.23717205026685367,0.22729295532761296,0.2195117601250949,0.22934977663159742,0.24717150634113297,0.2047412993550902,0.1435463738827636
45,81.81818181818183,0.07198861466239444,0.22729797451279593,0.2173580282479027,0.2093908689712298,0.2186245989902302,0.23546512136135378,0.19529730187793815,0.13739465465220438
46,83.63636363636364,0.06951498871944488,0.2176279647689012,0.2076455444237256,0.19949918471292655,0.20814485327691457,0.22402985315994897,0.18607409624412508,0.13136937476494734
47,85.45454545454545,0.0670681807939956,0.20816924457161776,0.19816303122064177,0.18984355437759878,0.19791745260895918,0.21287307608939907,0.17707303314829026,0.1254739128517529
48,87.27272727272728,0.06464985814452893,0.19892903745739368,0.18891801600421138,0.18043082499266,0.1879493101036727,0.20200216450218414,0.16829546328507317,0.11971164754338126
49,89.0909090909091,0.062261688029527286,0.18991456696267767,0.17991802613999477,0.17126784358552416,0.17824733887836416,0.191424492750785,0.15974273734911348,0.11408595747059297
50,90.90909090909092,0.0599053298042885,0.18113296669057483,0.17117050987332305,0.16236139304511327,0.16881839428356962,0.18114737950369575,0.15141631907807757,0.10860019512105605
51,92.72727272727273,0.057582261050866584,0.1725893017772977,0.16268109568425848,0.1537167810750481,0.15966800303405637,0.17117686269773336,0.14332027219925766,0.10325711169131833
52,94.54545454545455,0.05529377757807167,0.16428656889216636,0.15445359228759423,0.14533784019364748,0.15080036320882237,0.16151769953803685,0.1354612604295709,0.098058857086807
53,96.36363636363636,0.05304116729152933,0.15622767477115762,0.14649172927789436,0.13722833878073903,0.14221961512009296,0.1521745915457592,0.12784606052896175,0.09300755506985704
54,98.18181818181819,0.050825718096865175,0.1484155261502485,0.13879923624972307,0.12939204521615025,0.1339298990800936,0.1431522402420537,0.12048144925737456,0.08810532940280347
55,100.0,0.048648717899704826,0.14085302976541583,0.13137984279764447,0.12183272787970875,0.1259353554010499,0.13445534714807328,0.11337420337475396,0.08335430384798137
56,101.81818181818183,0.04651142943952915,0.133542457120404,0.1242366888666176,0.11455371246274743,0.11823957220051415,0.1260879124177305,0.10652994473662801,0.0787565874974479
57,103.63636363636364,0.04441501479124026,0.12648353879002752,0.11737055580318077,0.10755655390262125,0.1108439288173469,0.11805113073597501,0.0999496755808596,0.07431423076214919
58,105.45454545454547,0.04236061086359552,0.11967537011686813,0.11078163530426716,0.10084236444819027,0.10374925239573556,0.11034549542051565,0.0936332432408953,0.07002926938275336
59,107.27272727272727,0.040349354565352345,0.11311704644350805,0.1044701190668102,0.09441225634831496,0.09695637007986775,0.10297149978906171,0.08758049505018177,0.06590373909992883
60,109.0909090909091,0.03838238280526806,0.1068076631125289,0.09843619878774285,0.08826734185185535,0.09046610901393061,0.09592963715932183,0.08179127834216543,0.06193967565434363
61,110.9090909090909,0.036460818922171616,0.10074621395278298,0.09267995960594834,0.08240864863248533,0.08427921098759972,0.08922030735002687,0.07626539794485097,0.058139064184779085
62,112.72727272727273,0.034585474146537044,0.0949293579773393,0.08719903582515633,0.07683525913458762,0.07839445463677278,0.08284175970340454,0.0710016810610768,0.05450272598661468
63,114.54545454545455,0.03275684760048358,0.08935141938348369,0.08198861091394344,0.07154431057325444,0.07280865544356997,0.07679009308518013,0.06599797726851535,0.0510303185118283
64,116.36363636363637,0.03097542483620192,0.0840066208547721,0.07704376178283583,0.06653285558839121,0.06751854353559926,0.07106131286210036,0.061252093639396904,0.04772144861051071
65,118.18181818181817,0.029241691405882862,0.07888918507476075,0.07235956534235995,0.06179794681990353,0.06252084904046892,0.06565142440091216,0.05676183724595202,0.04457572313275284
66,120.00000000000001,0.027556132861717063,0.0739933347270055,0.0679310985030419,0.05733663690769677,0.05781230208578675,0.06055643306836206,0.052525015160410846,0.04159274892864535
67,121.81818181818183,0.025919200693052848,0.06931286344891789,0.06375267101785488,0.053145728928211206,0.053389314200048714,0.05577195474946391,0.048539109141395705,0.03877204268648105
68,123.63636363636364,0.024331210137868584,0.06483984869333038,0.059815524009558294,0.04922102770402536,0.04924702251530129,0.05129204740229858,0.04480029969309564,0.03611276044736002
69,125.45454545454545,0.02279244237130013,0.060565938866930805,0.05611013144335834,0.04555808849425244,0.045380245564478686,0.047110379503213826,0.041304442006091506,0.033613968090584236
70,127.2727272727273,0.02130317856848336,0.05648278237640689,0.052626967284461146,0.042152466558005586,0.04178380188051508,0.04322061952855736,0.03804739127096412,0.03127473149545564
71,129.0909090909091,0.019863699904554236,0.05258202762844664,0.049356505498073015,0.0389997171543981,0.038452509996344864,0.03961643595467709,0.03502500267829448,0.029094116541276326
72,130.9090909090909,0.018474284226949723,0.0488553341307848,0.04628911461779359,0.03609531082451104,0.03538113400125869,0.036291449623621054,0.03223307119592816,0.027071113033487935
73,132.72727272727272,0.017135132846032748,0.045294616715238566,0.04341273825027554,0.033432769594688175,0.032563185780748564,0.033238185788546086,0.02966600666880122,0.025202961078746512
74,134.54545454545456,0.0158463705350921,0.04189204553770737,0.04071289507522411,0.031003666976535848,0.029990925016507575,0.030448074113717583,0.027316833818940053,0.023485151084922305
75,136.36363636363637,0.014608118739717759,0.038639801855137795,0.03817499834073832,0.02879949176362842,0.02765655694658547,0.02791249662910142,0.02517851714563595,0.021913097386025385
76,138.1818181818182,0.013420498905499645,0.03553006692447633,0.03578446129491712,0.0268117327495402,0.0255522868090319,0.02562283536466342,0.023244021148180093,0.020482214316065762
77,140.0,0.01228363247802769,0.03255502200266948,0.03352669718585943,0.025031878727845465,0.023670319841896558,0.023570472350369395,0.021506310325863715,0.01918791620905347
78,141.81818181818184,0.011197603199293662,0.029707640577853283,0.031386101504631225,0.023452365579876507,0.02200338007210028,0.02174709859224387,0.019958958481633912,0.018026480176099507
79,143.63636363636365,0.01016234399689674,0.0269840650629221,0.02934299871416683,0.022069417537997568,0.020546266682048613,0.0201456410005465,0.018597976633061397,0.016997634436718877
80,145.45454545454547,0.009177750094837893,0.024381230101959733,0.027376695520367537,0.02088020592233078,0.019294297643018217,0.01875933546159555,0.01741998510137274,0.016101969987527512
81,147.27272727272728,0.008243716717118115,0.021896070339050038,0.025466498629134672,0.01988190205299835,0.018242790926285793,0.017581417861709372,0.016421604207794514,0.015340077825141385
82,149.0909090909091,0.007360139087738391,0.019525520418276838,0.023591714746369535,0.019071677250122442,0.017387064503128012,0.016605124087206265,0.015599454273553295,0.014712548946176435
83,150.9090909090909,0.006526911598967842,0.017266735876913922,0.021732051907580617,0.018445689850841274,0.01672189416272027,0.01582333531351428,0.014949506218930824,0.014219042343405356
84,152.72727272727272,0.005743909513242663,0.01512195279560352,0.01987644872924078,0.01797679958366196,0.016229585505908473,0.015220774365584878,0.014452794742477388,0.013837780921205717
85,154.54545454545456,0.00501098896316611,0.013098487798356335,0.01802307440878727,0.017614567568460516,0.01587997394520901,0.014774005717892929,0.014075418321011848,0.01352555149555994
86,156.36363636363637,0.004328005249609601,0.011203878402373064,0.01617049947326456,0.01730754194212902,0.01564235271103702,0.014459239134023052,0.013782826030408233,0.013238208878607214
87,158.1818181818182,0.003694813673444523,0.00944566212485433,0.014317294449717051,0.01700427084155951,0.015486015033807593,0.014252684377559836,0.013540466946540547,0.012931607882486696
88,160.0,0.0031112695355422766,0.00783137648300079,0.012462029865189177,0.01665330240364405,0.015380254143935863,0.014130551212087887,0.013313790145282807,0.012561603319337566
89,161.81818181818184,0.0025772826405091693,0.006367259756382863,0.010609655466758919,0.016206996208282465,0.015287773764085863,0.014060368211031132,0.013066761880583462,0.012090300024959193
90,163.63636363636365,0.002092980807891199,0.005054353274050234,0.00879063788163874,0.015632957607405653,0.01514491958591735,0.01397493918717089,0.01275741711868871,0.011504802929791851
91,165.45454545454547,0.0016585463609692578,0.003892399127422317,0.0070418229570746275,0.014902603395952245,0.014881447793338987,0.013798386763127777,0.012342308003919162,0.010798466987935991
92,167.27272727272728,0.0012741616230242461,0.0028811394079185475,0.005400056540312589,0.01398735036886091,0.014427114570259459,0.01345483356152244,0.011777986680595445,0.009964647153492089
93,169.0909090909091,0.0009400089173370624,0.0020203162069583644,0.00390218447859863,0.012858615321070287,0.013711676100587432,0.012868402204975529,0.01102100529303818,0.008996698380560612
94,170.9090909090909,0.0006562705671886073,0.0013096716159612018,0.002585052619178761,0.01148781504751904,0.012664888568231584,0.011963215316107665,0.01002791598556798,0.007887975623242019
95,172.72727272727272,0.0004231288958597804,0.0007489477263464987,0.0014855068092989863,0.009846366343145816,0.011216508157100596,0.0106633955175395,0.008755270902505479,0.006631833835636789
96,174.54545454545456,0.00024076622663147913,0.0003378866295336858,0.0006403928962053047,0.00790568600288923,0.009296291051103092,0.008893065431891634,0.0071596221881712685,0.00522162797184536
97,176.36363636363637,0.00010936488278460895,7.623041694221252e-05,8.655672714375054e-05,0.0056371908216880035,0.006833993434147824,0.006576347681784768,0.005197521986886019,0.003650712985968241
98,178.1818181818182,2.910718760006649e-05,-3.627882000849159e-05,-0.0001391558506396835,0.003012297594480753,0.00375937149014343,0.003637364889839508,0.002825522442970328,0.001912443832105883
99,180.0,1.7546435875153884e-07,1.0101010101010106e-07,1.0101010101010106e-07,2.4231162061338476e-06,2.1814029985862726e-06,2.396786764985989e-07,1.757007448202036e-07,1.7546435875153884e-07
